2000.05.31 16:55 B G:\cs157\hw4.doc --> transfer.stanford.edu /afs/ir.stanford.edu/users/d/o/dougc hw4.doc
2000.06.03 10:16 B G:\cs157\homework <-- glacnem4 /afs/ir.stanford.edu/users/d/o/dougc homework
2000.06.03 10:16 B G:\cs157\homework.txt <-- glacnem4 /afs/ir.stanford.edu/users/d/o/dougc homework.txt
2000.06.03 10:16 B G:\cs157\homework1 <-- glacnem4 /afs/ir.stanford.edu/users/d/o/dougc homework1
2000.06.03 10:16 B G:\cs157\hw3.doc <-- glacnem4 /afs/ir.stanford.edu/users/d/o/dougc hw3.doc
2000.06.03 10:16 B G:\cs157\hw3.txt <-- glacnem4 /afs/ir.stanford.edu/users/d/o/dougc hw3.txt
2000.06.03 10:16 B G:\cs157\hw4.doc <-- glacnem4 /afs/ir.stanford.edu/users/d/o/dougc hw4.doc
2000.06.03 10:16 B G:\cs157\hw4.txt <-- glacnem4 /afs/ir.stanford.edu/users/d/o/dougc hw4.txt
2000.06.03 15:09 B G:\cs157\hw3.doc <-- glacnem4 /afs/ir.stanford.edu/users/d/o/dougc hw3.doc
2000.06.03 15:09 B G:\cs157\hw4.doc <-- glacnem4 /afs/ir.stanford.edu/users/d/o/dougc hw4.doc
2000.06.03 15:10 B G:\cs157\Assignment2.doc <-- glacnem4 /afs/ir.stanford.edu/users/d/o/dougc Assignment2.doc
2000.06.03 15:13 B G:\cs157\TEST.DOC <-- glacnem4 /afs/ir.stanford.edu/users/d/o/dougc TEST.DOC
